Region,Year,Deaths,DeathsMale,DeathsFemale,NormalizedDeaths
Africa,1950,6063.049999999999,3152.132,2910.918,1.0
Africa,1951,6132.528,3187.395,2945.1299999999997,1.0114592490578176
Africa,1952,6154.9130000000005,3199.5139999999997,2955.396,1.0151512852442255
Africa,1953,6188.068999999999,3216.6630000000005,2971.401,1.0206198200575616
Africa,1954,6233.5289999999995,3252.4129999999996,2981.1139999999996,1.0281176965388708
Africa,1955,6257.7,3266.67,2991.031,1.0321043039394364
Africa,1956,6311.858999999999,3299.112,3012.7439999999997,1.041036936855213
Africa,1957,6490.076999999999,3393.303,3096.7760000000007,1.0704310536776045
Africa,1958,6555.597,3429.2239999999997,3126.367,1.0812374959797462
Africa,1959,6459.0470000000005,3381.504,3077.5420000000004,1.0653131674652199
Africa,1960,6552.843,3442.597,3110.239,1.0807832691467167
Africa,1961,6612.357,3478.4469999999997,3133.906,1.0905991209044954
Africa,1962,6669.935999999999,3495.4300000000003,3174.511,1.1000958263580212
Africa,1963,6723.6860000000015,3520.4500000000003,3203.236,1.108961001476155
Africa,1964,6773.366,3548.6489999999994,3224.7199999999993,1.1171548972876688
Africa,1965,6887.063999999999,3609.642,3277.416,1.1359075052984884
Africa,1966,7054.351999999999,3695.1990000000005,3359.153,1.1634988990689503
Africa,1967,7156.443000000001,3767.379,3389.066,1.1803371240547254
Africa,1968,7210.11,3792.538,3417.568,1.1891886096931412
Africa,1969,7327.999999999999,3856.223,3471.7770000000005,1.20863261889643
Africa,1970,7384.2970000000005,3873.562,3510.739,1.2179178796150454
Africa,1971,7423.215999999999,3890.6279999999992,3532.5849999999996,1.2243369261345363
Africa,1972,7572.214,3971.617,3600.5950000000003,1.2489116863624745
Africa,1973,7547.312,3952.3130000000006,3594.997,1.2448045125803022
Africa,1974,7657.632,4008.5799999999995,3649.046,1.2629999752599765
Africa,1975,7723.874999999999,4047.795,3676.0860000000007,1.2739256644758001
Africa,1976,7709.572,4052.457,3657.119,1.2715666207601786
Africa,1977,7763.592,4088.5530000000003,3675.0429999999997,1.280476327920766
Africa,1978,7841.394,4139.2660000000005,3702.1349999999998,1.2933084833540878
Africa,1979,7901.119000000001,4168.71,3732.4099999999994,1.3031591360783767
Africa,1980,7985.981000000001,4215.73,3770.2559999999994,1.3171557219551218
Africa,1981,8055.268000000001,4251.098000000001,3804.174,1.3285834687162406
Africa,1982,8146.458999999999,4304.906000000001,3841.553,1.3436239186548025
Africa,1983,8632.817,4559.126,4073.6949999999997,1.4238406412614113
Africa,1984,8773.815999999999,4643.188000000001,4130.618,1.4470960984982806
Africa,1985,8849.923999999999,4679.347,4170.576,1.4596488565985766
Africa,1986,8891.357999999998,4698.378,4192.98,1.466482710846851
Africa,1987,8943.506000000001,4753.5,4190.0070000000005,1.4750836625130919
Africa,1988,9359.655999999999,4980.975,4378.687000000001,1.5437207346137671
Africa,1989,9072.357999999998,4802.447999999999,4269.916,1.4963356726400079
Africa,1990,9278.002,4926.532,4351.472,1.5302532553747703
Africa,1991,9556.22,5058.04,4498.179,1.5761407212541543
Africa,1992,9850.271,5222.008000000001,4628.258,1.6246395790897323
Africa,1993,9906.536,5256.128,4650.409000000001,1.6339195619366493
Africa,1994,10475.685,5571.762,4903.921,1.7277912931610329
Africa,1995,10080.128,5317.821,4762.311,1.6625506964316643
